config_hash,retrieval.type,retrieval.top_k,chunking.chunk_size,chunking.overlap,rerank.enabled,mean_quality_f1,mean_retrieval_recall_k,mean_retrieval_precision_k,mean_retrieval_ms,mean_latency_ms,mean_cost_usd,mean_rerank_latency_ms,std_latency_ms,model_load_ms,index_build_ms,artifact_total_ms,retrieval_cold_ms,retrieval_warm_mean_ms,retrieval_warm_std_ms,end_to_end_cold_ms,end_to_end_warm_mean_ms,end_to_end_warm_std_ms,total_cold_ms,total_warm_ms,gen_latency_mean_ms,gen_latency_std_ms,gen_cost_total_usd,mean_generation_f1,mean_generation_em,mean_generation_faithfulness,n_queries
a341a1db882f,bm25,12,250,30,False,0.04400790084807929,0.797,0.13448484848484848,10.642937131575309,10.698744568740949,0.0,0.0,5.111613638906406,0.0,125.58033299865201,292.5730829592794,9.741750021930784,10.644743117766982,5.1128271125677465,9.818917023949325,10.700507750193438,5.1165910061245405,135.39925002260134,10.700507750193438,0.0,0.0,0.0,0.0,0.0,0.0,500
9fd7a88e9b28,bm25,12,250,30,True,0.05034574896997056,0.837,0.14077575757575758,14.159719214658253,61.04931789834518,0.0,46.805767161538824,13.8903049901609,0.0,133.23850004235283,335.87108401115984,8.735832991078496,14.170588726128353,5.574888407672403,70.45837497571483,61.030462072538825,13.897837081184147,203.69687501806766,61.030462072538825,0.0,0.0,0.0,0.0,0.0,0.0,500
0a66229fcdf5,dense,5,150,30,False,0.04985940781930345,0.721,0.2988,11.826762995915487,11.87809445487801,0.0,0.0,11.615400307819987,1209.663791989442,13039.401957998052,14422.689666040242,71.27237500390038,11.707633512933553,11.311457581469014,71.40250003430992,11.758807068947284,11.31633404360165,14320.468250021804,11.758807068947284,0.0,0.0,0.0,0.0,0.0,0.0,500
703476066898,dense,5,150,30,True,0.05161056734103397,0.769,0.31396666666666667,8.265527579584159,29.142682254547253,0.0,20.811107922694646,6.2938964964611435,1209.663791989442,13039.401957998052,162.4479999882169,10.626333008985966,8.260796506579346,2.818633627123268,37.11320797447115,29.126709257112537,6.290059861983923,14286.178957961965,29.126709257112537,0.0,0.0,0.0,0.0,0.0,0.0,500
440fac7a049a,dense,5,250,30,False,0.04974853982791741,0.734,0.2964,8.83699374878779,8.890001156018116,0.0,0.0,1.1308514915705143,1209.663791989442,10314.994457992725,10507.323916011956,12.744583014864475,8.829162908575212,1.114904780205783,12.803250050637871,8.882158973864568,1.1182939508885332,11537.461500032805,8.882158973864568,0.0,0.0,0.0,0.0,0.0,0.0,500
116a8e0edb0c,dense,5,250,30,True,0.051929649034534266,0.775,0.3123000000000001,8.233958823024295,28.699002013076097,0.0,20.39900906337425,3.6461226063072685,1209.663791989442,10314.994457992725,160.51920800236985,11.668250022921711,8.227076475930312,1.6673755989506351,38.00462500657886,28.680353470002945,3.625833975371105,11562.662874988746,28.680353470002945,0.0,0.0,0.0,0.0,0.0,0.0,500
8e66df168640,dense,8,150,30,False,0.04985940781930345,0.784,0.20479047619047616,9.190313969622366,9.248838401050307,0.0,0.0,2.743358351399702,1209.663791989442,13039.401957998052,163.86750002857298,11.546375055331737,9.185592404320344,2.741050125813751,11.61987497471273,9.244086824750383,2.744051041323025,14260.685624962207,9.244086824750383,0.0,0.0,0.0,0.0,0.0,0.0,500
80aa3bf85895,dense,8,150,30,True,0.05221120197262866,0.828,0.21309523809523812,8.634500171872787,38.926231780438684,0.0,30.212724680197425,5.43748372071458,1209.663791989442,13039.401957998052,154.6987909823656,10.76229102909565,8.630236061938472,1.2823333192202628,76.7698329873383,38.85039290026454,5.171465618555082,14325.835582974833,38.85039290026454,0.0,0.0,0.0,0.0,0.0,0.0,500
71e82354d82a,dense,8,250,30,False,0.04974853982791741,0.795,0.20092857142857146,8.853830316686071,8.913374845054932,0.0,0.0,1.1709192477832193,1209.663791989442,10314.994457992725,158.43745798338205,10.492792003788054,8.850545824327149,1.1666924991268375,10.563209012616426,8.910068564158015,1.169755649263644,11535.221458994783,8.910068564158015,0.0,0.0,0.0,0.0,0.0,0.0,500
787f85a79e08,dense,8,250,30,True,0.05200396787665527,0.839,0.21160714285714285,8.701562976231799,38.68967040395364,0.0,29.910083583090454,4.70342893176565,1209.663791989442,10314.994457992725,156.47725004237145,10.442917002364993,8.698073288804679,1.9203642387838291,45.549958012998104,38.67592233259283,4.698081671352232,11570.208207995165,38.67592233259283,0.0,0.0,0.0,0.0,0.0,0.0,500
