qid,quality_f1,retrieval_recall_k,retrieval_precision_k,retrieval_ms,latency_ms,cost_usd,generation_enabled,generation_f1,generation_em,generation_faithfulness,generation_latency_ms,generation_cost_usd,retrieval_type,top_k,chunk_mode,chunk_size,overlap,rerank_enabled,retrieval_cache_hit_rate
5adccd795542990d50227d2c,0.0689655172413793,1.0,0.25,7.594875001814216,7.6293330057524145,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a84c4135542994c784dda31,0.0,1.0,0.25,5.480583000462502,5.518166988622397,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a85eed75542996432c5713b,0.0,1.0,0.25,8.328083029482514,8.364957990124822,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a774e9c55429972597f14f3,0.0,0.5,0.125,7.693666964769363,7.738541986327618,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae738f75542991bbc9761c4,0.0,0.5,0.14285714285714285,8.765500038862228,8.800500014331192,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ac32b565542995ef918c154,0.0,1.0,0.25,9.556874982081354,9.59854101529345,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5abc8d75554299700f9d7900,0.09523809523809523,1.0,0.25,13.818666979204863,13.860625040251762,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8bb29b554299240d9c2089,0.0,1.0,0.25,7.232791977003217,7.286959036719054,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ab659e355429954757d324e,0.0,0.5,0.125,8.537291025277227,8.579874993301928,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8b8b3155429949d91db5d7,0.0,1.0,0.25,7.219833030831069,7.258792000357062,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5ae7eaf65542994a481bbe1d,0.0,1.0,0.25,9.427417011465877,9.466083021834493,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a8c4c625542995e66a475a1,0.0,0.5,0.125,10.190166998654604,10.230291984044015,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
5a818387554299260e20a291,0.0909090909090909,1.0,0.25,9.77399997645989,9.821209008805454,0.0,False,0.0,0.0,0.0,0.0,0.0,bm25,8,words,200,40,False,0.0
